Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P35908v2;CON__P35908;CON__Q6NXH9;CON__Q9R0H5;CON__P07744;CON__Q7RTS7;CON__Q8VED5;CON__Q5XKE5;CON__Q32MB2;CON__Q6IFZ6;CON__Q7Z794;CON__Q01546;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;CON__P05787;CON__Q9H552;CON__Q14CN4-1;CON__Q6IME9;CON__Q8N1N4-2;CON__Q7RTT2;CON__Q3SY84;CON__P19013;CON__Q9NSB2;CON__Q6ISB0	CON__P35908v2;CON__P35908	13;13;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	11;11;2;1;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1	8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	;	25	13	11	8	10	9	8	11	12	12	8	7	6	10	11	11	5	5	3	7	8	8	29.9	26.8	22.5	65.432	639	639;645;539;524;525;529;531;535;540;572;578;638;457;469;469;483;499;511;520;521;521;523;594;600;600	0	42.753	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.8	14.7	12.2	24.4	28.6	28.6	5909600000	467190000	459280000	395790000	1778800000	1510000000	1298500000	539940000	536140000	527820000	934430000	858020000	818420000	6	6	4	9	9	9	43			+	10	4282;4473;4613;6737;9095;9406;10961;13578;14308;14713;15403;16414;16598	True;True;False;False;True;True;True;True;True;True;True;True;True	4537;4736;4883;7120;9604;9940;11716;14498;15277;15714;16455;17523;17716	25677;25678;25679;25680;25681;26815;26816;26817;26818;26819;26820;27660;27661;27662;27663;27664;27665;27666;40413;40414;40415;54716;54717;54718;54719;54720;54721;56417;56418;56419;56420;56421;66345;66346;66347;66348;66349;66350;82380;82381;82382;82383;82384;87236;87237;87238;89820;89821;89822;89823;89824;89825;94100;94101;100656;100657;100658;100659;100660;100661;101654;101655;101656;101657;101658;101659	19024;19025;19026;19871;19872;20462;20463;20464;20465;20466;20467;29967;29968;40610;40611;40612;41730;41731;41732;41733;49091;49092;49093;49094;49095;49096;61055;61056;61057;64966;64967;64968;66995;66996;66997;66998;66999;67000;70199;70200;75426;75427;75428;75429;75430;75431;76154;76155;76156;76157;76158	19025;19872;20465;29968;40610;41732;49093;61055;64967;67000;70199;75431;76157		
CON__P48668;CON__P04259;CON__P02538;CON__O95678;CON__P12035	CON__P48668;CON__P04259;CON__P02538	12;11;11;4;2	9;8;8;1;1	5;4;4;0;0	;;	5	12	9	5	7	6	5	12	12	10	4	4	2	9	9	7	2	1	1	5	5	3	27.7	22.9	14.7	60.024	564	564;564;564;551;629	0	78.538	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.4	12.9	9.8	27.7	27.7	23.8	1882800000	36226000	88336000	23658000	646530000	638190000	449880000	121780000	111010000	85230000	348510000	290530000	295110000	1	0	1	8	6	6	22			+	11	377;810;1189;4282;7374;9095;10961;11048;11779;13579;16260;16413	True;True;True;False;True;False;False;True;True;True;True;True	397;854;1253;4537;7800;9604;11716;11815;12594;14499;17367;17522	2224;2225;4806;4807;4808;4809;4810;4811;7185;7186;7187;25677;25678;25679;25680;25681;44329;44330;44331;44332;54716;54717;54718;54719;54720;54721;66345;66346;66347;66348;66349;66350;66912;66913;71449;71450;71451;71452;71453;82385;82386;82387;82388;82389;82390;99608;99609;99610;99611;100653;100654;100655	1639;1640;3589;3590;3591;5305;5306;5307;19024;19025;19026;33036;40610;40611;40612;49091;49092;49093;49094;49095;49096;49519;49520;52920;52921;52922;61058;61059;61060;61061;61062;74532;74533;74534;75423;75424;75425	1639;3589;5305;19025;33036;40610;49093;49520;52920;61060;74533;75423		
CON__Q04695;CON__Q9QWL7	CON__Q04695;CON__Q9QWL7	4;4	1;1	1;1	;	2	4	1	1	3	1	4	3	3	4	1	0	1	1	1	1	1	0	1	1	1	1	7.4	2.8	2.8	48.105	432	432;433	0	3.57	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	7.4	2.1	7.4	7.4	7.4	7.4	155730000	8820100	0	7684000	50851000	45314000	43057000	0	0	0	0	0	28140000	0	0	0	0	1	1	2			+	12	973;8515;14271;15177	True;False;False;False	1022;9001;15238;16212	5876;5877;5878;5879;5880;51228;51229;87002;87003;87004;87005;87006;92720;92721;92722;92723;92724;92725	4381;4382;38077;64814;64815;64816;69212;69213;69214;69215	4382;38077;64814;69213		
LOC_Os01g01060.1;LOC_Os11g29190.3	LOC_Os01g01060.1;LOC_Os11g29190.3	5;4	1;0	1;0	"LOC_Os01g01060.1 LOC_Os01g01060.1|13101.m00011|protein 40S ribosomal protein S5, putative, expressed;LOC_Os11g29190.3 LOC_Os11g29190.3|13111.m02814|protein 40S ribosomal protein S5, putative, expressed"	2	5	1	1	5	5	5	4	4	4	1	1	1	0	0	0	1	1	1	0	0	0	25	6	6	22.226	200	200;128	0.00030321	2.9308	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	25	25	25	19	19	19	179400000	56687000	56988000	65724000	0	0	0	0	0	62480000	0	0	0	0	1	1	0	0	0	2				13	1861;11485;12202;13918;15470	True;False;False;False;False	1983;12277;13046;14859;16537	11342;11343;11344;69591;69592;69593;69594;69595;69596;69597;69598;74193;74194;74195;74196;74197;74198;84782;84783;84784;84785;84786;84787;94573;94574;94575;94576;94577;94578;94579;94580;94581;94582;94583;94584	8406;8407;51594;51595;51596;51597;51598;51599;54966;54967;63054;63055;63056;70553;70554;70555;70556;70557;70558	8406;51597;54966;63055;70556		
LOC_Os01g01080.1	LOC_Os01g01080.1	2	2	2	"LOC_Os01g01080.1 LOC_Os01g01080.1|13101.m00015|protein decarboxylase, putative, expressed"	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	5.6	5.6	5.6	58.271	539	539	0	5.0279	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.6	5.6	3.7	5.6	5.6	5.6	1010800000	180470000	358790000	151220000	57273000	120770000	142310000	199340000	300850000	141050000	61856000	67454000	100260000	2	3	2	1	1	2	11				14	10389;13789	True;True	10989;10990;14724	62113;62114;62115;62116;62117;83956;83957;83958;83959;83960;83961;83962;83963;83964;83965;83966	45904;45905;45906;62415;62416;62417;62418;62419;62420;62421;62422	45904;62420	7	1
LOC_Os01g01120.1	LOC_Os01g01120.1	3	3	3	"LOC_Os01g01120.1 LOC_Os01g01120.1|13101.m00022|protein enolase-phosphatase E1, putative, expressed"	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6.5	6.5	6.5	33.825	309	309	0	7.1807	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.5	6.5	6.5	6.5	6.5	6.5	380010000	56630000	62787000	61862000	67987000	68781000	61961000	53723000	60537000	58761000	43030000	43262000	43008000	1	2	2	2	1	1	9				15	379;12481;12482	True;True;True	399;13345;13346	2235;2236;2237;2238;2239;2240;75923;75924;75925;75926;75927;75928;75929;75930;75931;75932;75933;75934	1647;56298;56299;56300;56301;56302;56303;56304;56305	1647;56299;56305		
LOC_Os01g01302.1	LOC_Os01g01302.1	5	5	5	"LOC_Os01g01302.1 LOC_Os01g01302.1|13101.m00042|protein shikimate kinase, putative, expressed"	1	5	5	5	5	5	5	4	4	4	5	5	5	4	4	4	5	5	5	4	4	4	25.3	25.3	25.3	29.617	269	269	0	70.826	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25.3	25.3	25.3	19.3	19.3	19.3	2241900000	238670000	344460000	274550000	463040000	469080000	452130000	242780000	338250000	262230000	285020000	299580000	285840000	3	4	4	3	4	5	23				16	576;2034;3944;9040;14244	True;True;True;True;True	601;2167;4183;9544;15210	3323;3324;3325;3326;3327;3328;3329;3330;3331;3332;3333;3334;12408;12409;12410;12411;12412;12413;23765;23766;23767;54354;54355;54356;54357;54358;54359;86864;86865;86866;86867;86868;86869	2507;2508;2509;2510;2511;2512;2513;2514;2515;2516;2517;9249;9250;9251;17693;40324;40325;40326;40327;40328;64713;64714;64715;64716;64717;64718	2511;9250;17693;40328;64716		
LOC_Os01g01307.1;LOC_Os01g01307.2	LOC_Os01g01307.1;LOC_Os01g01307.2	5;4	5;4	5;4	"LOC_Os01g01307.1 LOC_Os01g01307.1|13101.m00043|protein translocon-associated protein beta domain containing protein, expressed;LOC_Os01g01307.2 LOC_Os01g01307.2|13101.m14978|protein translocon-associated protein beta domain containing protein, expressed"	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	33.7	33.7	33.7	20.402	190	190;142	0	33.963	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.7	33.7	33.7	33.7	33.7	33.7	8167200000	1270200000	1281300000	1404800000	1369200000	1487600000	1354100000	1198100000	1125600000	1087200000	896440000	870390000	894100000	5	6	5	5	7	7	35				17	168;169;3048;4785;8407	True;True;True;True;True	181;182;3244;3245;5069;8887	1049;1050;1051;1052;1053;1054;1055;1056;1057;1058;1059;1060;1061;1062;1063;18542;18543;18544;18545;18546;18547;18548;18549;18550;28625;28626;28627;28628;28629;28630;28631;50594;50595;50596;50597;50598;50599;50600;50601;50602;50603;50604;50605	778;779;780;781;782;783;784;785;786;787;788;789;13806;13807;13808;13809;13810;13811;13812;13813;21195;21196;21197;21198;21199;21200;37611;37612;37613;37614;37615;37616;37617;37618;37619	784;788;13811;21196;37616	8	80
LOC_Os01g01340.2;LOC_Os01g01340.1	LOC_Os01g01340.2;LOC_Os01g01340.1	1;1	1;1	1;1	"LOC_Os01g01340.2 LOC_Os01g01340.2|13101.m00048|protein light-induced protein 1-like, putative, expressed;LOC_Os01g01340.1 LOC_Os01g01340.1|13101.m00047|protein light-induced protein 1-like, putative, expressed"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	10	11.404	110	110;128	0	5.2309	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10	10	10	10	10	10	1607300000	75213000	195180000	223500000	350120000	345040000	418270000	0	0	0	0	0	217030000	0	0	1	1	2	2	6				18	9857	TRUE	10409	58908;58909;58910;58911;58912;58913;58914;58915;58916	43466;43467;43468;43469;43470;43471;43472	43469		
LOC_Os01g01420.3;LOC_Os01g01420.1;LOC_Os02g55200.2;LOC_Os02g55200.1;LOC_Os01g01420.2	LOC_Os01g01420.3;LOC_Os01g01420.1;LOC_Os02g55200.2;LOC_Os02g55200.1;LOC_Os01g01420.2	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	LOC_Os01g01420.3 LOC_Os01g01420.3|13101.m14980|protein expressed protein;LOC_Os01g01420.1 LOC_Os01g01420.1|13101.m00061|protein expressed protein;LOC_Os02g55200.2 LOC_Os02g55200.2|13102.m06328|protein expressed protein;LOC_Os02g55200.1 LOC_Os02g55200.1|131	5	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	7.4	7.4	7.4	39.787	363	363;363;365;365;378	0	13.857	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5	7.4	7.4	7.4	7.4	7.4	239270000	9478700	27030000	29405000	56013000	55029000	62314000	0	24873000	28926000	35807000	33634000	41573000	0	1	1	2	1	2	7				19	3405;9877	True;True	3615;10429	20572;20573;20574;20575;20576;20577;59017;59018;59019;59020;59021	15305;15306;15307;15308;43539;43540;43541	15307;43541		
LOC_Os01g01450.2;LOC_Os01g01450.1	LOC_Os01g01450.2;LOC_Os01g01450.1	6;6	5;5	5;5	"LOC_Os01g01450.2 LOC_Os01g01450.2|13101.m00065|protein stress responsive protein, putative, expressed;LOC_Os01g01450.1 LOC_Os01g01450.1|13101.m00066|protein stress responsive protein, putative, expressed"	2	6	5	5	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	35.8	27.6	27.6	30.146	268	268;291	0	95.05	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.8	35.8	35.8	35.8	35.8	35.8	6852700000	1598100000	1649600000	1890000000	500740000	595010000	619210000	1452200000	1234100000	1571400000	380090000	427860000	403790000	8	11	9	6	5	8	47				20	633;6448;10681;12050;15134;16691	True;True;False;True;True;True	663;6816;11407;11408;12882;16167;16168;17813;17814	3657;3658;3659;3660;3661;3662;3663;3664;3665;38722;38723;38724;38725;38726;38727;38728;38729;38730;38731;64618;64619;64620;64621;64622;64623;64624;64625;64626;64627;64628;64629;64630;64631;64632;73214;73215;73216;73217;73218;73219;73220;73221;73222;73223;73224;92466;92467;92468;92469;92470;92471;92472;92473;92474;92475;92476;92477;92478;92479;92480;92481;102206;102207;102208;102209;102210;102211;102212;102213;102214;102215;102216;102217;102218;102219;102220	2743;2744;2745;2746;2747;2748;2749;28644;28645;28646;28647;28648;28649;28650;28651;28652;47837;47838;47839;47840;47841;47842;47843;47844;47845;54183;54184;54185;54186;54187;54188;54189;54190;54191;54192;69034;69035;69036;69037;69038;69039;69040;69041;76567;76568;76569;76570;76571;76572;76573;76574;76575;76576;76577;76578;76579	2745;28650;47842;54189;69038;76578	9;10;11	172;203;224
LOC_Os01g01640.1	LOC_Os01g01640.1	3	3	2	"LOC_Os01g01640.1 LOC_Os01g01640.1|13101.m00088|protein Rer1 protein, putative, expressed"	1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	18.4	18.4	13.3	21.768	196	196	0	11.012	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.4	18.4	18.4	18.4	18.4	18.4	1311600000	203930000	233540000	222300000	205990000	225940000	219920000	174620000	195590000	209040000	108440000	125710000	119650000	4	3	2	3	3	3	18				21	582;6015;10342	True;True;True	607;6369;10927;10928	3367;3368;3369;3370;3371;3372;36163;36164;36165;36166;36167;36168;61860;61861;61862;61863;61864;61865;61866;61867;61868;61869;61870;61871	2544;26860;26861;26862;26863;26864;45739;45740;45741;45742;45743;45744;45745;45746;45747;45748;45749;45750	2544;26861;45741	12	1
LOC_Os01g01710.1;LOC_Os01g01710.2	LOC_Os01g01710.1	7;3	7;3	7;3	"LOC_Os01g01710.1 LOC_Os01g01710.1|13101.m00098|protein 1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed"	2	7	7	7	5	5	5	7	5	6	5	5	5	7	5	6	5	5	5	7	5	6	17.3	17.3	17.3	51.473	473	473;351	0	20.665	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.1	13.1	13.1	17.3	13.1	14.8	659750000	65241000	77922000	76184000	157910000	114580000	167910000	62442000	81794000	71210000	76032000	88389000	114280000	1	2	2	4	3	6	18				22	661;1741;4025;6925;7001;7494;16724	True;True;True;True;True;True;True	692;1855;4267;7314;7399;7924;17848	3837;3838;3839;3840;3841;3842;10658;10659;10660;10661;10662;10663;24206;24207;24208;24209;24210;24211;41582;41583;42122;42123;42124;42125;42126;42127;45045;45046;45047;45048;45049;45050;102402	2863;2864;2865;2866;2867;2868;7897;7898;7899;7900;7901;18007;18008;18009;30902;31373;33522;33523;33524;76727	2866;7900;18009;30902;31373;33523;76727		
LOC_Os01g01720.2;LOC_Os01g01720.1	LOC_Os01g01720.2;LOC_Os01g01720.1	2;2	2;2	2;2	"LOC_Os01g01720.2 LOC_Os01g01720.2|13101.m00101|protein pex14, putative, expressed;LOC_Os01g01720.1 LOC_Os01g01720.1|13101.m00100|protein pex14, putative, expressed"	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	7.1	7.1	7.1	48.743	450	450;451	0	21.575	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.9	2.9	2.9	2.9	7.1	2.9	287410000	25818000	29127000	33804000	59380000	77049000	62237000	0	0	0	0	49214000	0	1	1	1	1	2	1	7				23	8256;13518	True;True	8728;14432	49731;49732;49733;49734;49735;49736;82041	36990;36991;36992;36993;36994;36995;60794	36994;60794		
LOC_Os01g01800.2;LOC_Os01g01800.1;LOC_Os05g01060.2;LOC_Os05g01060.1	LOC_Os01g01800.2;LOC_Os01g01800.1	3;3;1;1	3;3;1;1	3;3;1;1	LOC_Os01g01800.2 LOC_Os01g01800.2|13101.m00109|protein expressed protein;LOC_Os01g01800.1 LOC_Os01g01800.1|13101.m00110|protein expressed protein	4	3	3	3	2	2	3	0	0	0	2	2	3	0	0	0	2	2	3	0	0	0	4.9	4.9	4.9	84.079	758	758;759;625;750	0	12.444	By MS/MS	By MS/MS	By MS/MS				2.8	3.7	4.9	0	0	0	123570000	30334000	33798000	59433000	0	0	0	0	0	46864000	0	0	0	0	0	3	0	0	0	3				24	8316;10304;11499	True;True;True	8790;10878;10879;12293	50087;50088;50089;61648;61649;61650;61651;69675;69676	37255;37256;45606;45607;51657	37256;45606;51657	13	253
LOC_Os01g01960.1;LOC_Os05g01020.2	LOC_Os01g01960.1;LOC_Os05g01020.2	4;2	4;2	4;2	"LOC_Os01g01960.1 LOC_Os01g01960.1|13101.m00126|protein transcriptional repressor, putative, expressed;LOC_Os05g01020.2 LOC_Os05g01020.2|13105.m00008|protein transcriptional repressor, putative, expressed"	2	4	4	4	3	3	3	2	3	4	3	3	3	2	3	4	3	3	3	2	3	4	4.5	4.5	4.5	149.43	1325	1325;1318	0	9.7588	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	3.5	3.5	3.5	2.6	3.5	4.5	280220000	55123000	58286000	51082000	28207000	43433000	44092000	56969000	48254000	51406000	25704000	25463000	25528000	3	1	2	1	0	2	9				25	699;6645;10243;12609	True;True;True;True	734;7023;10810;13482	4065;4066;4067;4068;4069;4070;39918;39919;39920;39921;39922;61249;76644;76645;76646;76647;76648;76649	3041;3042;3043;3044;29523;29524;45307;56766;56767	3041;29524;45307;56767		
LOC_Os01g02020.3;LOC_Os01g02020.2;LOC_Os01g02020.1	LOC_Os01g02020.3;LOC_Os01g02020.2;LOC_Os01g02020.1	5;5;5	5;5;5	5;5;5	"LOC_Os01g02020.3 LOC_Os01g02020.3|13101.m00134|protein acetyl-CoA acetyltransferase, cytosolic, putative, expressed;LOC_Os01g02020.2 LOC_Os01g02020.2|13101.m00135|protein acetyl-CoA acetyltransferase, cytosolic, putative, expressed;LOC_Os01g02020.1 LOC_Os0"	3	5	5	5	5	5	5	3	3	2	5	5	5	3	3	2	5	5	5	3	3	2	22.6	22.6	22.6	38.341	372	372;407;416	0	17.417	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	22.6	22.6	22.6	12.9	11.8	7.3	767310000	219260000	214860000	188180000	62539000	52775000	29698000	196360000	195130000	186170000	38921000	38612000	39325000	5	5	4	0	0	1	15				26	1286;2764;3225;12859;14198	True;True;True;True;True	1376;2947;3427;13744;15162	7936;7937;7938;16877;16878;16879;16880;16881;16882;19536;19537;19538;19539;78046;78047;78048;78049;78050;86542;86543;86544;86545;86546	5918;5919;12528;12529;12530;12531;14559;14560;14561;57756;57757;57758;64460;64461;64462	5918;12528;14561;57756;64460		
LOC_Os01g02080.1	LOC_Os01g02080.1	8	8	8	"LOC_Os01g02080.1 LOC_Os01g02080.1|13101.m00142|protein peptidyl-prolyl cis-trans isomerase, putative, expressed"	1	8	8	8	6	6	6	7	8	7	6	6	6	7	8	7	6	6	6	7	8	7	44.7	44.7	44.7	31.411	304	304	0	150.2	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.3	27.3	27.3	31.9	44.7	31.9	8473900000	681950000	694260000	709260000	2085800000	2131200000	2171400000	653030000	665080000	680900000	1262100000	1271900000	1346200000	5	6	6	6	7	6	36				27	554;2662;4670;5398;7460;7568;13095;15876	True;True;True;True;True;True;True;True	575;2838;4942;5710;7889;8000;13992;16961;16962	3158;3159;3160;3161;3162;3163;16201;16202;16203;16204;16205;16206;27933;27934;27935;27936;27937;27938;32101;44860;44861;44862;44863;44864;44865;45470;45471;45472;45473;45474;45475;79370;79371;79372;97271;97272;97273;97274;97275;97276;97277;97278;97279;97280;97281;97282;97283;97284	2370;2371;2372;2373;2374;11988;11989;11990;11991;11992;11993;20657;20658;20659;23770;33402;33403;33404;33405;33406;33407;33878;33879;33880;33881;33882;33883;58788;72788;72789;72790;72791;72792;72793;72794;72795;72796;72797;72798	2371;11992;20658;23770;33406;33883;58788;72792	14	244
LOC_Os01g02090.1;LOC_Os01g02090.2	LOC_Os01g02090.1;LOC_Os01g02090.2	2;1	2;1	2;1	LOC_Os01g02090.1 LOC_Os01g02090.1|13101.m00143|protein expressed protein;LOC_Os01g02090.2 LOC_Os01g02090.2|13101.m00144|protein expressed protein	2	2	2	2	0	0	1	2	2	2	0	0	1	2	2	2	0	0	1	2	2	2	3.9	3.9	3.9	65.306	620	620;468	0	6.0092			By matching	By MS/MS	By MS/MS	By MS/MS	0	0	1.9	3.9	3.9	3.9	151670000	0	0	2460600	54963000	33441000	60807000	0	0	0	34689000	0	39739000	0	0	0	2	1	1	4				28	7864;15915	True;True	8309;17003	47236;47237;47238;97604;97605;97606;97607	35205;73056;73057;73058	35205;73056		
LOC_Os01g02870.1	LOC_Os01g02870.1	1	1	1	"LOC_Os01g02870.1 LOC_Os01g02870.1|13101.m00226|protein auxin-induced protein 5NG4, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.2	3.2	3.2	40.615	374	374	0	7.4552	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.2	3.2	3.2	3.2	3.2	3.2	252440000	31452000	15062000	26969000	67102000	63191000	48667000	0	0	0	0	0	31807000	0	0	0	1	1	1	3				29	7718	TRUE	8156	46279;46280;46281;46282;46283;46284	34453;34454;34455	34453		
LOC_Os01g02880.1	LOC_Os01g02880.1	2	1	1	"LOC_Os01g02880.1 LOC_Os01g02880.1|13101.m00227|protein fructose-bisphospate aldolase isozyme, putative, expressed"	1	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	5.4	3.4	3.4	41.994	388	388	0	9.5616	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	5.4	5.4	5.4	5.4	5.4	5.4	99628000	20249000	25130000	23464000	11919000	9989600	8875900	0	0	0	0	0	5800900	1	1	0	0	0	0	2				30	3025;8274	False;True	3221;8747	18421;18422;18423;18424;18425;18426;49825;49826;49827;49828;49829;49830	13714;13715;13716;13717;13718;13719;37061;37062	13716;37061		
LOC_Os01g02900.2;LOC_Os01g02900.1	LOC_Os01g02900.2;LOC_Os01g02900.1	1;1	1;1	1;1	"LOC_Os01g02900.2 LOC_Os01g02900.2|13101.m00231|protein glycosyltransferase, putative, expressed;LOC_Os01g02900.1 LOC_Os01g02900.1|13101.m00230|protein glycosyltransferase, putative, expressed"	2	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	2.4	2.4	2.4	55.007	502	502;562	0	6.9094	By MS/MS	By MS/MS	By MS/MS			By matching	2.4	2.4	2.4	0	0	2.4	36309000	0	13646000	15689000	0	0	6973700	0	0	0	0	0	4557700	1	1	1	0	0	0	3				31	12812	TRUE	13696	77781;77782;77783;77784	57557;57558;57559	57557		
LOC_Os01g02920.1	LOC_Os01g02920.1	1	1	1	"LOC_Os01g02920.1 LOC_Os01g02920.1|13101.m00233|protein glycosyltransferase protein, putative, expressed"	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	3.1	3.1	3.1	57.415	518	518	0	42.952	By MS/MS	By MS/MS	By MS/MS				3.1	3.1	3.1	0	0	0	96851000	44792000	52059000	0	0	0	0	0	49374000	0	0	0	0	1	1	1	0	0	0	3				32	2055	TRUE	2189	12520;12521;12522	9320;9321;9322	9322		
LOC_Os01g03020.2;LOC_Os01g03020.1	LOC_Os01g03020.2;LOC_Os01g03020.1	1;1	1;1	1;1	"LOC_Os01g03020.2 LOC_Os01g03020.2|13101.m00249|protein tRNA synthetase class I, putative, expressed;LOC_Os01g03020.1 LOC_Os01g03020.1|13101.m00248|protein tRNA synthetase class I, putative, expressed"	2	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	2.3	2.3	2.3	93.823	833	833;946	0	3.624	By MS/MS	By MS/MS	By MS/MS	By MS/MS			2.3	2.3	2.3	2.3	0	0	40656000	9946700	10129000	7588500	12991000	0	0	0	0	0	8198600	0	0	1	1	1	1	0	0	4				33	5868	TRUE	6214	35231;35232;35233;35234	26143;26144;26145;26146	26145		
LOC_Os01g03040.1	LOC_Os01g03040.1	7	7	7	LOC_Os01g03040.1 LOC_Os01g03040.1|13101.m00251|protein expressed protein	1	7	7	7	4	3	4	7	6	6	4	3	4	7	6	6	4	3	4	7	6	6	38.2	38.2	38.2	27.538	254	254	0	65.237	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.4	17.3	24.4	38.2	36.2	38.2	3465000000	99541000	98396000	93234000	1090100000	959240000	1124400000	133430000	143550000	134670000	634390000	629250000	641750000	2	2	3	6	6	6	25				34	5994;8048;8428;12058;13088;14961;14962	True;True;True;True;True;True;True	6346;8508;8910;12890;13985;15977;15978	36013;36014;36015;48451;48452;48453;48454;48455;48456;48457;48458;48459;50729;50730;50731;50732;50733;50734;50735;50736;50737;50738;50739;50740;73264;73265;73266;79340;79341;79342;79343;79344;79345;91409;91410;91411;91412;91413;91414	26740;26741;36086;36087;36088;36089;36090;37707;37708;37709;37710;37711;37712;37713;37714;37715;54214;58764;58765;58766;58767;58768;58769;68237;68238;68239;68240	26740;36086;37714;54214;58764;68239;68240		
